"name","description","distinguishedname","managedby","whenCreated"
"WS-1604","Retired - 12/29/2015","CN=WS-1604,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"4/9/2007 1:57:29 PM"
"WS-1610","Retired - 12/29/2015","CN=WS-1610,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"5/10/2007 1:16:56 PM"
"WS-1609","Retired 10/9/17","CN=WS-1609,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"5/9/2007 12:41:55 PM"
"WS-1603","Retired - 12/29/2015","CN=WS-1603,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"12/7/2007 9:06:12 AM"
"WS-1633","Recycled - 10/30/14","CN=WS-1633,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"7/30/2007 5:13:48 PM"
"WS-MAC-VM","Larry's MAC VM","CN=WS-MAC-VM,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com",,"3/13/2008 10:35:05 AM"
"WS-1682","Recycled - 01/14/2015","CN=WS-1682,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"4/28/2008 3:08:14 PM"
"WS-1630","Retired - 01/01/2016","CN=WS-1630,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"7/24/2007 11:05:31 AM"
"WS-1628","Recycled - 02/05/2015","CN=WS-1628,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"7/10/2007 10:21:03 AM"
"WS-1619","Recycled - 07/16/2015","CN=WS-1619,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"6/6/2007 11:23:31 AM"
"WS-1612","Retired - 12/29/2015","CN=WS-1612,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"5/15/2007 10:02:56 AM"
"WS-1631","Retired - 12/29/2015","CN=WS-1631,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"7/25/2007 10:09:31 AM"
"WS-1445","Retired - 12/29/2015","CN=WS-1445,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com","CN=Paul Norcross,OU=Users,OU=Northern California,DC=wma-arch,DC=com","3/8/2007 8:39:08 AM"
