"managedby","name"
,"WS-1604"
,"WS-1610"
,"WS-1609"
,"WS-1603"
,"WS-1633"
,"WS-MAC-VM"
,"WS-1682"
,"WS-1630"
,"WS-1628"
,"WS-1619"
,"WS-1612"
,"WS-1631"
"CN=Paul Norcross,OU=Users,OU=Northern California,DC=wma-arch,DC=com","WS-1445"
,"WS-1618"
,"WS-1501"
,"WS-1699"
,"WS-1622"
,"WS-1601"
,"ws-mac"
,"WS-RESOURCE1"
,"WS-1742"
,"WS-1750"
,"WS-1753"
,"WS-1758"
,"WS-1764"
,"WS-1773"
,"WS-1777"
,"WS-1720"
,"WS-1784"
,"WS-1786"
,"WS-1794"
,"WS-1703"
,"WS-1789"
,"WS-1796"
,"WS-1797"
,"WS-1839"
,"WS-1846"
,"WS-1849"
"CN=Ken Wink,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1853"
,"WS-1763"
,"WS-1727"
,"WS-1844"
,"WS-1700"
,"WS-1717"
,"WS-1804"
,"WS-1824"
,"WS-1829"
,"WS-1847"
,"WS-1869"
,"WS-1878"
,"WS-1879"
,"WS-1728"
,"WS-1852"
,"WS-1854"
"CN=Lon Stephenson,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1870"
,"WS-1871"
,"WS-1419"
,"WS-1778"
,"WS-1780"
,"WS-1810"
,"WS-1634"
,"WS-1733"
,"WS-1697"
,"WS-1669"
,"WS-1629"
,"WS-1683"
,"WS-1588"
,"WS-1688"
,"WS-1594"
,"WS-1590"
,"WS-1708"
,"WS-1668"
,"WS-1719"
,"WS-1704"
,"WS-1614"
,"WS-1403"
,"WS-1458"
,"WS-1616"
,"WS-1584"
,"WS-1409"
,"WS-1430"
,"WS-1451"
,"WS-1466"
,"WS-1556"
,"WS-1434"
,"WS-1551"
,"WS-1433"
,"WS-1570"
,"WS-1465"
,"WS-1611"
,"WS-1585"
,"WS-1582"
,"WS-1431"
,"WS-1482"
,"WS-1597"
,"WS-1738"
,"WS-1680"
,"WS-1716"
,"WS-1574"
,"WS-1567"
,"WS-1478"
,"WS-1701"
,"WS-1909"
,"WS-1922"
,"WS-1919"
,"WS-1915"
,"WS-1913"
,"WS-1888"
,"WS-1901"
,"WS-1896"
"CN=Dennis Phan,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1887"
,"WS-1812"
,"WS-1924"
,"WS-1923"
,"WS-1914"
,"WS-1921"
,"WS-1665"
,"WS-1472"
,"WS-1571"
,"WS-1952"
,"WS-1940"
"CN=Christina Fahilga,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1931"
,"WS-1711"
,"WS-1995"
,"WS-1640"
,"WS-1595"
,"WS-1414"
,"WS-1413"
,"WS-1545"
,"WS-1672"
,"WS-1692"
,"WS-1533"
,"WS-1842"
,"WS-1912"
,"WS-1587"
,"WS-1745"
,"WS-1743"
,"WS-1972"
,"WS-1917"
,"WS-1670"
,"WS-1706"
,"WS-1712"
,"WS-1667"
,"WS-2022"
"CN=Deidre Small,OU=Users,OU=Toronto,DC=wma-arch,DC=com","WS-2014"
"CN=Matthew Burns,OU=Users,OU=New Jersey,DC=wma-arch,DC=com","WS-2006"
,"WS-1809"
,"WS-1938"
,"WS-2023"
,"WS-1746"
,"WS-1856"
,"WS-2085"
,"WS-1872"
,"WS-2011"
"CN=Delia Farrell,OU=Users,OU=Panama,DC=wma-arch,DC=com","WS-2107"
,"WS-2025"
,"WS-1867"
"CN=Helen Geller,OU=Users,OU=New Jersey,DC=wma-arch,DC=com","WS-2125"
,"WS-2012"
,"WS-2147"
,"WS-2096"
,"WS-2067"
,"WS-2029"
,"WS-2111"
"CN=Madeline Beck,OU=Users,OU=Seattle,DC=wma-arch,DC=com","WS-1949"
,"WS-1904"
"CN=Henry Chan,OU=Users,OU=Phoenix,DC=wma-arch,DC=com","WS-2026"
"CN=Alfredo Vite,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1877"
,"WS-1813"
"CN=Christina J. Chambers,OU=Users,OU=Miami,DC=wma-arch,DC=com","WS-1793"
,"WS-2015"
,"WS-2141"
,"WS-2010"
"CN=Daniel Schnizler,OU=Users,OU=San Diego,DC=wma-arch,DC=com","WS-1969"
,"WS-1702"
,"WS-1945"
,"WS-1817"
"CN=Joy Perez,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1876"
,"WS-1676"
,"WS-1814"
,"WS-1967"
,"WS-2145"
,"WS-2120"
"CN=Zach Motsinger,OU=Users,OU=Houston,DC=wma-arch,DC=com","WS-1971"
"CN=Hanna Abdolahpour,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1959"
"CN=Paige Parrish,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1752"
